,mssv,namsinh,gioitinh,drl,diem_tt,dtb_toankhoa,dtb_tichluy,sotc_tichluy,diemtbhk_1,diemtbhk_2,diemtbhk_3,diemtbhk_4,diemtbhk_5,diemtbhk_6,diemtbhk_7,diemtbhk_8
21,0061CB34XPvAibaEXe+Vkl3c6kHD5JJsLl6yg+xd,19.0,0,75.19813454155285,30.0,8.5,8.5,24.0,8.495000000000001,8.36,8.63,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001
22,0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,20.0,0,75.65553494124923,26.0,4.69,4.69,40.0,6.87,4.14,3.25,4.93,2.2,3.34,4.121666666666666,4.121666666666666
23,00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,20.0,0,75.65553494124923,23.5,7.45,7.45,151.0,7.33,7.44,7.29,7.35,6.19,6.88,7.19,3.6
24,006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,17.0,0,77.0,27.0,7.65,7.65,148.0,6.82,7.06,7.73,7.42,7.63,8.6,8.44,7.27
25,006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,19.0,0,62.81791285637439,20.75,7.29,7.29,154.0,6.35,6.59,7.15,7.29,7.22,6.98,7.74,7.77
26,007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,20.0,0,75.65553494124923,24.5,7.44,7.44,136.0,7.82,7.08,7.71,7.73,6.97,6.74,7.78,7.78
27,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,16.0,0,78.74455162558057,31.0,7.23,7.23,147.0,6.73,6.52,7.35,6.3,8.07,8.16,6.99,7.19
28,0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,20.0,0,75.65553494124923,24.5,6.45,6.45,138.0,5.99,5.63,4.73,5.99,6.48,7.54,5.77,6.45
29,0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,22.0,0,82.10591293047433,30.0,8.19,8.19,126.0,9.11,8.46,7.44,7.94,8.44,8.12,7.87,0.0
30,008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/,22.0,0,82.10591293047433,24.15,2.79,2.79,20.0,4.08,0.28,2.33,2.23,2.23,2.23,2.23,2.23
31,008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,19.0,0,62.81791285637439,22.25,7.59,7.59,152.0,7.63,8.02,7.75,8.37,5.96,7.21,6.27,8.4
32,00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,22.0,0,82.10591293047433,22.75,6.75,6.75,111.0,7.96,6.21,5.89,8.2,7.5,6.92,4.97,6.807142857142857
33,009F1E0CXPvAibaEXe94igOHwzHdHY2Fe/zgcpmL,19.0,0,100.0,30.0,6.26,6.26,22.0,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26
34,00A10E06XPvAibaEXe96Y2OKPPTIZE1Vm/jamY2u,19.0,0,78.0,30.0,2.34,2.34,22.0,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
35,00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,17.0,0,70.58465346534653,24.25,6.94,6.94,141.0,7.22,5.29,6.67,5.96,7.72,7.34,6.25,6.04
36,00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,21.0,0,78.33960814444872,22.5,6.55,6.55,115.0,3.54,4.6,6.04,5.79,6.73,7.62,7.28,5.23
37,00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,19.0,0,62.81791285637439,23.75,4.1,4.1,34.0,5.95,4.41,0.06,3.958333333333334,5.68,3.19,4.46,3.958333333333334
38,00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,17.0,0,56.0,30.0,5.93,5.93,138.0,6.18,5.46,5.67,4.86,5.85,6.71,3.78,5.05
39,00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,18.0,0,70.58465346534653,22.25,6.64,6.64,149.0,5.81,5.96,7.22,6.08,6.93,6.6,6.47,6.46
40,00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,19.0,0,100.0,30.0,5.89,5.89,79.0,6.58,5.93,4.93,4.85,6.34,5.726,5.726,5.726
41,00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,16.0,0,78.74455162558057,23.5,6.65,6.65,142.0,5.86,6.425714285714286,5.53,6.24,5.87,6.94,7.01,7.53
42,00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,18.0,0,70.58465346534653,22.5,6.9,6.9,153.0,8.03,6.17,6.65,7.17,6.58,6.06,6.75,3.93
43,00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,21.0,0,78.33960814444872,20.5,7.0,7.0,136.0,7.23,6.92,5.62,6.99,4.35,7.34,7.62,7.91
44,00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,20.0,0,78.33960814444872,20.5,7.3,7.3,142.0,5.62,7.07,7.91,8.25,8.59,5.41,7.92,7.252857142857143
45,00C64B85XPvAibaEXe/GFbVLDV6SZJlZKXs0/KN4,17.0,1,75.19813454155285,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,00CA4312XPvAibaEXe+rkciJLhYkX9LrDhs86+oX,19.0,0,87.0,30.0,5.06,5.06,17.0,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
47,00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,22.0,0,82.10591293047433,25.50849001251581,5.02,5.02,59.0,5.49,4.3,2.29,6.45,3.62,5.27,3.03,4.35
48,00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,20.0,0,75.65553494124923,25.75,7.26,7.26,138.0,6.66,5.95,6.91,7.29,7.9,7.68,8.07,8.3
49,00D6A536XPvAibaEXe8Rsz5OHfshwIAz2xO/cOdY,19.0,0,86.0,30.0,7.57,7.57,18.0,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57
50,00D6DC46XPvAibaEXe9KRifo2bJPJD+Zu7F2mpg5,19.0,0,100.0,30.0,8.7,8.7,64.0,9.34,8.51,8.39,8.746666666666668,8.746666666666668,8.746666666666668,8.746666666666668,8.746666666666668
51,00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,19.0,0,90.0,30.0,8.23,8.23,94.0,8.12,8.37,8.29,8.19,8.18,8.23,8.23,8.23
52,00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,18.0,0,70.58465346534653,20.5,6.63,6.63,148.0,4.82,3.89,5.57,4.98,5.83,5.91,7.08,6.91
53,00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,19.0,0,62.81791285637439,21.75,5.25,5.25,53.0,4.12,3.56,7.25,5.86,2.4,0.0,3.865,3.865
54,00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,20.0,0,75.65553494124923,22.0,7.11,7.11,149.0,5.89,6.06,6.48,6.54,6.05,7.64,8.28,9.09
55,00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,19.0,0,98.0,30.0,8.18,8.18,68.0,8.34,8.27,7.95,8.186666666666666,8.186666666666666,8.186666666666666,8.186666666666666,8.186666666666666
56,00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,22.0,0,82.10591293047433,23.95,6.98,6.98,129.0,7.16,7.1,6.64,6.95,6.56,7.2,7.49,7.014285714285714
57,00E79D3DXPvAibaEXe8KqSssRcgb+XyRiJFP8xLe,19.0,0,100.0,30.0,6.23,6.23,22.0,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23
58,00E902B0XPvAibaEXe9syTSxuDl8vm0fhXJrG91q,19.0,0,100.0,30.0,7.52,7.52,61.0,8.12,7.71,6.67,7.5,7.5,7.5,7.5,7.5
59,00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,21.0,0,78.33960814444872,19.4,6.64,6.64,135.0,6.22,5.49,4.67,6.89,5.96,7.75,6.78,5.96
60,00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,18.0,0,70.58465346534653,22.5,5.05,5.05,63.0,3.53,3.56,6.06,4.22,2.85,6.29,0.0,4.6
61,00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,19.0,0,81.0,30.0,6.59,6.59,89.0,6.74,7.11,6.6,5.61,6.34,6.480000000000001,6.480000000000001,6.480000000000001
62,00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,19.0,0,100.0,30.0,7.16,7.16,103.0,5.99,6.54,7.43,7.28,7.97,7.042,7.042,7.042
63,0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,21.0,1,78.33960814444872,30.0,9.16,9.16,149.0,9.14,9.22,9.35,9.2,8.53,9.12,9.52,9.4
64,01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,19.0,0,100.0,30.0,8.02,8.02,100.0,7.35,8.2,8.68,7.87,8.1,8.04,8.04,8.04
65,010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,21.0,0,78.33960814444872,24.35,8.79,8.79,131.0,9.02,8.73,9.22,8.92,8.67,7.8,9.27,8.804285714285713
66,011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,19.0,0,62.81791285637439,21.0,7.28,7.28,154.0,6.86,6.01,6.84,7.71,5.54,7.55,8.58,6.53
67,0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,16.0,0,78.74455162558057,23.5,6.58,6.58,145.0,5.73,4.24,7.14,6.48,7.3,6.8,6.54,6.86
68,0116EBB1XPvAibaEXe/kKctW1IjPXrvAfln7HF4O,19.0,0,100.0,30.0,5.15,5.15,51.0,4.94,2.29,2.29,7.7,3.49,4.142,4.142,4.142
69,011C8C36XPvAibaEXe+hiNwRJR1W0NNfQIPrrkvA,19.0,0,89.0,30.0,7.68,7.68,17.0,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68
70,011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,20.0,0,75.65553494124923,23.25,7.35,7.35,152.0,7.32,7.79,6.59,5.07,8.44,6.94,7.63,5.74
71,01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,16.0,0,100.0,29.5,6.67,6.67,153.0,6.23,6.18,5.04,6.4,5.94,4.89,6.33,7.29
72,012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,21.0,0,78.33960814444872,20.95,7.2,7.2,139.0,5.76,5.75,3.87,6.33,7.58,8.1,8.26,6.68
73,01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,17.0,0,70.0,29.0,7.29,7.29,155.0,8.74,7.67,6.99,6.19,5.64,6.5,4.84,7.55
74,01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,18.0,0,70.58465346534653,24.75,5.86,5.86,36.0,7.53,5.56,0.5,4.53,4.53,4.53,4.53,4.53
75,01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,18.0,0,62.81791285637439,23.25,3.27,3.27,28.0,2.85,1.79,4.0,4.21,4.33,0.77,5.27,0.0
76,013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,18.0,0,70.58465346534653,24.75,4.07,4.07,42.0,5.85,0.0,4.33,1.96,3.01,1.55,1.59,0.14
77,014936F9XPvAibaEXe/8RrU8iVBfOr/Ldf/cdiET,19.0,0,99.0,30.0,7.21,7.21,24.0,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
78,014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,20.0,0,75.65553494124923,27.0,8.27,8.27,145.0,7.95,8.3,8.05,8.34,8.25,8.32,8.26,9.08
79,014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,22.0,0,82.10591293047433,21.2,8.02,8.02,136.0,8.95,7.63,7.34,8.8,8.12,8.15,7.74,8.104285714285714
80,014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,19.0,0,100.0,30.0,8.38,8.38,76.0,8.2,8.36,8.58,8.38,8.38,8.38,8.38,8.38
81,0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,19.0,0,62.81791285637439,20.75,7.63,7.63,154.0,7.87,5.67,8.03,7.15,6.78,7.23,9.1,8.63
82,0154E43EXPvAibaEXe9Zf5/2ioDjyXvhb/ezd6g0,19.0,0,81.0,30.0,6.88,6.88,28.0,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88
83,0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,18.0,0,70.58465346534653,24.5,8.31,8.31,141.0,8.06,7.55,8.66,8.29,8.34,8.42,8.74,8.69
84,015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,19.0,0,95.0,30.0,7.91,7.91,104.0,7.9275,8.06,7.98,7.93,7.74,7.9275,7.9275,7.9275
85,01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8,22.0,1,82.10591293047433,22.0,4.22,4.22,27.0,5.91,2.62,4.265000000000001,4.265000000000001,4.265000000000001,4.265000000000001,4.265000000000001,4.265000000000001
86,016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/,21.0,0,82.10591293047433,21.3,1.1,1.1,2.0,3.28,0.31,0.6,0.51,0.54,1.0479999999999998,1.0479999999999998,1.0479999999999998
87,01728002XPvAibaEXe/aKtNDHjDg7XzAUeuYwUoZ,19.0,0,92.0,30.0,4.72,4.72,34.0,5.73,3.37,5.1,4.733333333333333,4.733333333333333,4.733333333333333,4.733333333333333,4.733333333333333
88,01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,22.0,0,82.10591293047433,23.0,8.42,8.42,140.0,9.27,8.6,7.86,8.53,8.96,7.9,6.9,8.288571428571428
89,017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,19.0,0,98.0,30.0,8.76,8.76,68.0,8.39,8.89,9.05,8.776666666666667,8.776666666666667,8.776666666666667,8.776666666666667,8.776666666666667
90,017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,19.0,0,62.81791285637439,21.0,4.15,4.15,43.0,6.25,0.81,4.64,0.95,3.355,3.355,2.61,4.87
91,017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,19.0,0,100.0,30.0,4.72,4.72,35.0,3.79,5.09,5.01,3.54,5.01,4.488,4.488,4.488
92,018688CAXPvAibaEXe96Y2OKPPTIZMPEXLKYzr8N,19.0,0,100.0,30.0,8.99,8.99,64.0,9.39,8.88,8.74,9.003333333333336,9.003333333333336,9.003333333333336,9.003333333333336,9.003333333333336
93,0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,18.0,1,70.58465346534653,24.75,8.1,8.1,65.0,8.96,6.92,8.42,8.5,8.2,8.2,8.2,8.2
94,0187B0F3XPvAibaEXe/vGZ1xWLvpK/uzWZb2e41X,19.0,0,75.19813454155285,30.0,9.24,9.24,24.0,9.245,9.42,9.07,9.245,9.245,9.245,9.245,9.245
95,0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,20.0,1,75.65553494124923,20.25,6.84,6.84,145.0,7.34,7.09,6.43,6.85,6.11,6.97,6.8,3.9
96,018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,22.0,0,82.10591293047433,21.3,8.4,8.4,141.0,8.59,7.72,7.16,8.07,8.98,8.46,8.94,8.274285714285714
97,019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,22.0,1,82.10591293047433,24.8,8.98,8.98,127.0,9.55,9.15,8.72,9.25,8.72,8.79,8.36,8.934285714285714
98,01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,19.0,0,83.0,30.0,7.31,7.31,93.0,6.05,7.01,7.07,7.77,8.16,7.212000000000001,7.212000000000001,7.212000000000001
99,01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,19.0,0,100.0,30.0,9.23,9.23,111.0,9.07,9.44,9.14,9.26,9.28,9.238,9.238,9.238
